cutoff,candidate,target,horizon,model,mape
2025-04-07 00:00:00,half_life_30d,generator_1,48,learned_mean,0.1547832736388531
2025-04-07 00:00:00,half_life_30d,generator_1,64,persistence,0.19958586998274938
2025-04-07 00:00:00,half_life_30d,generator_1,64,ema,0.19588285807936898
2025-04-07 00:00:00,half_life_30d,generator_1,64,seasonal,0.15522641814234642
2025-04-07 00:00:00,half_life_30d,generator_1,64,lgb_residual,0.15623992524720923
2025-04-07 00:00:00,half_life_30d,generator_1,64,cat_residual,0.15215797776051052
2025-04-07 00:00:00,half_life_30d,generator_1,64,learned_mean,0.15382706175400734
2025-04-07 00:00:00,half_life_30d,generator_1,72,persistence,0.19873389876556413
2025-04-07 00:00:00,half_life_30d,generator_1,72,ema,0.19364798089186497
2025-04-07 00:00:00,half_life_30d,generator_1,72,seasonal,0.15290067752710687
2025-04-07 00:00:00,half_life_30d,generator_1,72,lgb_residual,0.14951514501256
2025-04-07 00:00:00,half_life_30d,generator_1,72,cat_residual,0.1575641779950597
2025-04-07 00:00:00,half_life_30d,generator_1,72,learned_mean,0.1532864685276416
2025-04-07 00:00:00,half_life_30d,generator_1,96,persistence,0.14746790413566058
2025-04-07 00:00:00,half_life_30d,generator_1,96,ema,0.1413411713291617
2025-04-07 00:00:00,half_life_30d,generator_1,96,seasonal,0.14746790413566058
2025-04-07 00:00:00,half_life_30d,generator_1,96,lgb_residual,0.1633233340284793
2025-04-07 00:00:00,half_life_30d,generator_1,96,cat_residual,0.16351699715923354
2025-04-07 00:00:00,half_life_30d,generator_1,96,learned_mean,0.1623611560653094
2025-04-07 00:00:00,half_life_30d,generator_all,1,persistence,0.0230770669618922
2025-04-07 00:00:00,half_life_30d,generator_all,1,ema,0.03854594564316802
2025-04-07 00:00:00,half_life_30d,generator_all,1,seasonal,0.1344467336063281
2025-04-07 00:00:00,half_life_30d,generator_all,1,lgb_residual,0.020504529360900314
2025-04-07 00:00:00,half_life_30d,generator_all,1,cat_residual,0.02071427813969846
2025-04-07 00:00:00,half_life_30d,generator_all,1,learned_mean,0.020569771860153716
2025-04-07 00:00:00,half_life_30d,generator_all,2,persistence,0.03959906255389822
2025-04-07 00:00:00,half_life_30d,generator_all,2,ema,0.05134993124535402
2025-04-07 00:00:00,half_life_30d,generator_all,2,seasonal,0.1334260062918566
2025-04-07 00:00:00,half_life_30d,generator_all,2,lgb_residual,0.03668229905660293
2025-04-07 00:00:00,half_life_30d,generator_all,2,cat_residual,0.036608849187285894
2025-04-07 00:00:00,half_life_30d,generator_all,2,learned_mean,0.03658869807056465
2025-04-07 00:00:00,half_life_30d,generator_all,3,persistence,0.0531174393775008
2025-04-07 00:00:00,half_life_30d,generator_all,3,ema,0.06252884848561725
2025-04-07 00:00:00,half_life_30d,generator_all,3,seasonal,0.13229658220422677
2025-04-07 00:00:00,half_life_30d,generator_all,3,lgb_residual,0.048490144972282045
2025-04-07 00:00:00,half_life_30d,generator_all,3,cat_residual,0.049291914432811695
2025-04-07 00:00:00,half_life_30d,generator_all,3,learned_mean,0.04875026529174093
2025-04-07 00:00:00,half_life_30d,generator_all,4,persistence,0.06445145371913501
2025-04-07 00:00:00,half_life_30d,generator_all,4,ema,0.07177924305251861
2025-04-07 00:00:00,half_life_30d,generator_all,4,seasonal,0.13148866857051478
2025-04-07 00:00:00,half_life_30d,generator_all,4,lgb_residual,0.059410180018115176
2025-04-07 00:00:00,half_life_30d,generator_all,4,cat_residual,0.059944613365195444
2025-04-07 00:00:00,half_life_30d,generator_all,4,learned_mean,0.05951276874729635
2025-04-07 00:00:00,half_life_30d,generator_all,5,persistence,0.07475106980289567
2025-04-07 00:00:00,half_life_30d,generator_all,5,ema,0.07914659266908257
2025-04-07 00:00:00,half_life_30d,generator_all,5,seasonal,0.13091323493627258
2025-04-07 00:00:00,half_life_30d,generator_all,5,lgb_residual,0.06717982095453016
2025-04-07 00:00:00,half_life_30d,generator_all,5,cat_residual,0.06863277119887463
2025-04-07 00:00:00,half_life_30d,generator_all,5,learned_mean,0.06759990578984905
2025-04-07 00:00:00,half_life_30d,generator_all,6,persistence,0.08236674278396303
2025-04-07 00:00:00,half_life_30d,generator_all,6,ema,0.085676875387267
2025-04-07 00:00:00,half_life_30d,generator_all,6,seasonal,0.13034944076667715
2025-04-07 00:00:00,half_life_30d,generator_all,6,lgb_residual,0.07334709571001918
2025-04-07 00:00:00,half_life_30d,generator_all,6,cat_residual,0.07251741365675592
2025-04-07 00:00:00,half_life_30d,generator_all,6,learned_mean,0.0726357770629708
2025-04-07 00:00:00,half_life_30d,generator_all,7,persistence,0.0880229652324236
2025-04-07 00:00:00,half_life_30d,generator_all,7,ema,0.09021963850604121
2025-04-07 00:00:00,half_life_30d,generator_all,7,seasonal,0.1299264486239908
2025-04-07 00:00:00,half_life_30d,generator_all,7,lgb_residual,0.07405818043620034
2025-04-07 00:00:00,half_life_30d,generator_all,7,cat_residual,0.0751897219104007
2025-04-07 00:00:00,half_life_30d,generator_all,7,learned_mean,0.0743413848530707
2025-04-07 00:00:00,half_life_30d,generator_all,8,persistence,0.09265858297568723
2025-04-07 00:00:00,half_life_30d,generator_all,8,ema,0.09369901982439015
2025-04-07 00:00:00,half_life_30d,generator_all,8,seasonal,0.12986544078214632
2025-04-07 00:00:00,half_life_30d,generator_all,8,lgb_residual,0.07802863100102019
2025-04-07 00:00:00,half_life_30d,generator_all,8,cat_residual,0.07671788216437363
2025-04-07 00:00:00,half_life_30d,generator_all,8,learned_mean,0.07706553408609622
2025-04-07 00:00:00,half_life_30d,generator_all,12,persistence,0.10087447459623546
2025-04-07 00:00:00,half_life_30d,generator_all,12,ema,0.09905735146719008
2025-04-07 00:00:00,half_life_30d,generator_all,12,seasonal,0.13269629563093588
2025-04-07 00:00:00,half_life_30d,generator_all,12,lgb_residual,0.0826095908655521
2025-04-07 00:00:00,half_life_30d,generator_all,12,cat_residual,0.07883906645249564
2025-04-07 00:00:00,half_life_30d,generator_all,12,learned_mean,0.08064092829620141
2025-04-07 00:00:00,half_life_30d,generator_all,16,persistence,0.10437720785663951
2025-04-07 00:00:00,half_life_30d,generator_all,16,ema,0.10012777056122706
2025-04-07 00:00:00,half_life_30d,generator_all,16,seasonal,0.13447928362977915
2025-04-07 00:00:00,half_life_30d,generator_all,16,lgb_residual,0.09134856908849454
2025-04-07 00:00:00,half_life_30d,generator_all,16,cat_residual,0.08762733111452596
2025-04-07 00:00:00,half_life_30d,generator_all,16,learned_mean,0.08926762534547254
2025-04-07 00:00:00,half_life_30d,generator_all,24,persistence,0.10795664496293485
2025-04-07 00:00:00,half_life_30d,generator_all,24,ema,0.10642157259385798
2025-04-07 00:00:00,half_life_30d,generator_all,24,seasonal,0.13690327479416423
2025-04-07 00:00:00,half_life_30d,generator_all,24,lgb_residual,0.09943116687286317
2025-04-07 00:00:00,half_life_30d,generator_all,24,cat_residual,0.09035082423600693
2025-04-07 00:00:00,half_life_30d,generator_all,24,learned_mean,0.09452781898616362
2025-04-07 00:00:00,half_life_30d,generator_all,32,persistence,0.12604316434298765
2025-04-07 00:00:00,half_life_30d,generator_all,32,ema,0.12424642700995846
2025-04-07 00:00:00,half_life_30d,generator_all,32,seasonal,0.13792622716331138
2025-04-07 00:00:00,half_life_30d,generator_all,32,lgb_residual,0.10410221589387636
2025-04-07 00:00:00,half_life_30d,generator_all,32,cat_residual,0.10088441826588927
2025-04-07 00:00:00,half_life_30d,generator_all,32,learned_mean,0.10230156086639754
2025-04-07 00:00:00,half_life_30d,generator_all,48,persistence,0.12289579132203404
2025-04-07 00:00:00,half_life_30d,generator_all,48,ema,0.11765494722968213
2025-04-07 00:00:00,half_life_30d,generator_all,48,seasonal,0.12744467307179805
2025-04-07 00:00:00,half_life_30d,generator_all,48,lgb_residual,0.09748617135851105
2025-04-07 00:00:00,half_life_30d,generator_all,48,cat_residual,0.09079516715844473
2025-04-07 00:00:00,half_life_30d,generator_all,48,learned_mean,0.09327682405696495
2025-04-07 00:00:00,half_life_30d,generator_all,64,persistence,0.12637880744896116
2025-04-07 00:00:00,half_life_30d,generator_all,64,ema,0.12535208272803802
2025-04-07 00:00:00,half_life_30d,generator_all,64,seasonal,0.13266392647353156
2025-04-07 00:00:00,half_life_30d,generator_all,64,lgb_residual,0.0945875462894356
2025-04-07 00:00:00,half_life_30d,generator_all,64,cat_residual,0.0951034452352239
2025-04-07 00:00:00,half_life_30d,generator_all,64,learned_mean,0.09310826113895614
2025-04-07 00:00:00,half_life_30d,generator_all,72,persistence,0.13905095062723524
2025-04-07 00:00:00,half_life_30d,generator_all,72,ema,0.13632498509376326
2025-04-07 00:00:00,half_life_30d,generator_all,72,seasonal,0.13008582880941913
2025-04-07 00:00:00,half_life_30d,generator_all,72,lgb_residual,0.0963821687000234
2025-04-07 00:00:00,half_life_30d,generator_all,72,cat_residual,0.10042836677445227
2025-04-07 00:00:00,half_life_30d,generator_all,72,learned_mean,0.09728807357493678
2025-04-07 00:00:00,half_life_30d,generator_all,96,persistence,0.12060921308831896
2025-04-07 00:00:00,half_life_30d,generator_all,96,ema,0.11862583106363593
2025-04-07 00:00:00,half_life_30d,generator_all,96,seasonal,0.12060921308831896
2025-04-07 00:00:00,half_life_30d,generator_all,96,lgb_residual,0.11227195115438239
2025-04-07 00:00:00,half_life_30d,generator_all,96,cat_residual,0.1267187369228764
2025-04-07 00:00:00,half_life_30d,generator_all,96,learned_mean,0.1184402412678915
2025-04-18 00:00:00,half_life_30d,generator_1,1,persistence,0.02401580692583923
2025-04-18 00:00:00,half_life_30d,generator_1,1,ema,0.029922158802882917
2025-04-18 00:00:00,half_life_30d,generator_1,1,seasonal,0.3800885964424989
2025-04-18 00:00:00,half_life_30d,generator_1,1,lgb_residual,0.024110193749394614
2025-04-18 00:00:00,half_life_30d,generator_1,1,cat_residual,0.024141632262695195
2025-04-18 00:00:00,half_life_30d,generator_1,1,learned_mean,0.024110381133842982
2025-04-18 00:00:00,half_life_30d,generator_1,2,persistence,0.03474153368294345
2025-04-18 00:00:00,half_life_30d,generator_1,2,ema,0.03902237762462346
2025-04-18 00:00:00,half_life_30d,generator_1,2,seasonal,0.3797215604972186
2025-04-18 00:00:00,half_life_30d,generator_1,2,lgb_residual,0.03425031079539969
2025-04-18 00:00:00,half_life_30d,generator_1,2,cat_residual,0.03398514947011252
2025-04-18 00:00:00,half_life_30d,generator_1,2,learned_mean,0.03405079530885815
2025-04-18 00:00:00,half_life_30d,generator_1,3,persistence,0.040630106921016984
2025-04-18 00:00:00,half_life_30d,generator_1,3,ema,0.04658687487198052
2025-04-18 00:00:00,half_life_30d,generator_1,3,seasonal,0.3791502723644429
2025-04-18 00:00:00,half_life_30d,generator_1,3,lgb_residual,0.03964970417632556
2025-04-18 00:00:00,half_life_30d,generator_1,3,cat_residual,0.039745214725863974
2025-04-18 00:00:00,half_life_30d,generator_1,3,learned_mean,0.03967834452582419
2025-04-18 00:00:00,half_life_30d,generator_1,4,persistence,0.04814737840543265
2025-04-18 00:00:00,half_life_30d,generator_1,4,ema,0.05409663747980503
2025-04-18 00:00:00,half_life_30d,generator_1,4,seasonal,0.3784381064639615
2025-04-18 00:00:00,half_life_30d,generator_1,4,lgb_residual,0.0471632475289833
2025-04-18 00:00:00,half_life_30d,generator_1,4,cat_residual,0.04786588538973934
2025-04-18 00:00:00,half_life_30d,generator_1,4,learned_mean,0.04748509970098891
2025-04-18 00:00:00,half_life_30d,generator_1,5,persistence,0.05604040020286354
2025-04-18 00:00:00,half_life_30d,generator_1,5,ema,0.06030449450606429
2025-04-18 00:00:00,half_life_30d,generator_1,5,seasonal,0.37731780963621847
2025-04-18 00:00:00,half_life_30d,generator_1,5,lgb_residual,0.05511907739477667
2025-04-18 00:00:00,half_life_30d,generator_1,5,cat_residual,0.055385458275911625
2025-04-18 00:00:00,half_life_30d,generator_1,5,learned_mean,0.055234439899581954
2025-04-18 00:00:00,half_life_30d,generator_1,6,persistence,0.062282726111680536
2025-04-18 00:00:00,half_life_30d,generator_1,6,ema,0.06631375623144961
2025-04-18 00:00:00,half_life_30d,generator_1,6,seasonal,0.37670637397887413
2025-04-18 00:00:00,half_life_30d,generator_1,6,lgb_residual,0.06250586569639723
2025-04-18 00:00:00,half_life_30d,generator_1,6,cat_residual,0.061838914923075465
2025-04-18 00:00:00,half_life_30d,generator_1,6,learned_mean,0.062132418084679196
2025-04-18 00:00:00,half_life_30d,generator_1,7,persistence,0.06840989761921078
2025-04-18 00:00:00,half_life_30d,generator_1,7,ema,0.07200964079829568
2025-04-18 00:00:00,half_life_30d,generator_1,7,seasonal,0.3759196769200472
2025-04-18 00:00:00,half_life_30d,generator_1,7,lgb_residual,0.06739787471905107
2025-04-18 00:00:00,half_life_30d,generator_1,7,cat_residual,0.0676290336531676
2025-04-18 00:00:00,half_life_30d,generator_1,7,learned_mean,0.06748466484867775
2025-04-18 00:00:00,half_life_30d,generator_1,8,persistence,0.07312403115354368
2025-04-18 00:00:00,half_life_30d,generator_1,8,ema,0.07678053939915276
2025-04-18 00:00:00,half_life_30d,generator_1,8,seasonal,0.3754558162886501
2025-04-18 00:00:00,half_life_30d,generator_1,8,lgb_residual,0.07252054587630631
2025-04-18 00:00:00,half_life_30d,generator_1,8,cat_residual,0.07260440925400673
2025-04-18 00:00:00,half_life_30d,generator_1,8,learned_mean,0.07254568533540545
2025-04-18 00:00:00,half_life_30d,generator_1,12,persistence,0.08849010552376964
2025-04-18 00:00:00,half_life_30d,generator_1,12,ema,0.0928180305429603
2025-04-18 00:00:00,half_life_30d,generator_1,12,seasonal,0.37432315145941564
2025-04-18 00:00:00,half_life_30d,generator_1,12,lgb_residual,0.08736924363292109
2025-04-18 00:00:00,half_life_30d,generator_1,12,cat_residual,0.08618343078545508
2025-04-18 00:00:00,half_life_30d,generator_1,12,learned_mean,0.0866394026647111
2025-04-18 00:00:00,half_life_30d,generator_1,16,persistence,0.10435389430450603
2025-04-18 00:00:00,half_life_30d,generator_1,16,ema,0.10679012765296929
