target,horizon,model,mape,scored,cutoff
generator_1,16,persistence,0.09581910836604227,190,2025-04-27 00:00:00
generator_1,24,persistence,0.10045639712080409,190,2025-04-27 00:00:00
generator_1,32,persistence,0.11688062149052296,190,2025-04-27 00:00:00
generator_1,48,persistence,0.14812611980384371,190,2025-04-27 00:00:00
generator_1,64,persistence,0.1470447379904168,190,2025-04-27 00:00:00
generator_1,72,persistence,0.15036941926844472,190,2025-04-27 00:00:00
generator_1,96,persistence,0.1290056062265591,190,2025-04-27 00:00:00
generator_all,1,persistence,0.016302492764797196,190,2025-04-27 00:00:00
generator_all,2,persistence,0.024861320909881784,190,2025-04-27 00:00:00
generator_all,3,persistence,0.03233965339861585,190,2025-04-27 00:00:00
generator_all,4,persistence,0.039837754291870524,190,2025-04-27 00:00:00
generator_all,5,persistence,0.045435505768685415,190,2025-04-27 00:00:00
generator_all,6,persistence,0.05140277970521936,190,2025-04-27 00:00:00
generator_all,7,persistence,0.05613369725378825,190,2025-04-27 00:00:00
generator_all,8,persistence,0.060522343702890835,190,2025-04-27 00:00:00
generator_all,12,persistence,0.07375934007070198,190,2025-04-27 00:00:00
generator_all,16,persistence,0.08051351816724256,190,2025-04-27 00:00:00
generator_all,24,persistence,0.07043108765320914,190,2025-04-27 00:00:00
generator_all,32,persistence,0.09181749759464514,190,2025-04-27 00:00:00
generator_all,48,persistence,0.1448703480825939,190,2025-04-27 00:00:00
generator_all,64,persistence,0.15802998837849308,190,2025-04-27 00:00:00
generator_all,72,persistence,0.1870894284869825,190,2025-04-27 00:00:00
generator_all,96,persistence,0.20897874229663693,190,2025-04-27 00:00:00
generator_1,1,ema,0.03548938357917129,190,2025-04-27 00:00:00
generator_1,2,ema,0.043545101978989274,190,2025-04-27 00:00:00
generator_1,3,ema,0.050707056777363875,190,2025-04-27 00:00:00
generator_1,4,ema,0.05834725000504023,190,2025-04-27 00:00:00
generator_1,5,ema,0.06345806565622567,190,2025-04-27 00:00:00
generator_1,6,ema,0.06794092402136963,190,2025-04-27 00:00:00
generator_1,7,ema,0.07239927337315767,190,2025-04-27 00:00:00
generator_1,8,ema,0.07624489928461105,190,2025-04-27 00:00:00
