mode,target,horizon,block,mape
scale_offset,generator_all,2,2,0.035523577857189965
scale_offset,generator_all,1,3,0.01157066734079664
scale_offset,generator_all,2,3,0.017673792310676884
scale_offset,generator_all,1,4,0.014824299413861116
scale_offset,generator_all,2,4,0.01643171029719728
scale_offset,generator_all,1,5,0.016608750164870515
scale_offset,generator_all,2,5,0.02616096324081188
scale_offset,generator_all,1,6,0.010669939167558823
scale_offset,generator_all,2,6,0.019213605022706547
scale_offset,generator_all,1,7,0.015930419242999653
scale_offset,generator_all,2,7,0.024366497673449086
scale_offset,generator_all,3,0,0.023912477528891866
scale_offset,generator_all,4,0,0.026926094977413082
scale_offset,generator_all,5,0,0.03088543251295887
scale_offset,generator_all,6,0,0.03730187554202594
scale_offset,generator_all,7,0,0.04320799651873902
scale_offset,generator_all,8,0,0.048654079901187974
scale_offset,generator_all,3,1,0.05907229536541806
scale_offset,generator_all,4,1,0.07241885440350877
scale_offset,generator_all,5,1,0.08054801021107437
scale_offset,generator_all,6,1,0.08455671281893766
scale_offset,generator_all,7,1,0.08001928639113393
scale_offset,generator_all,8,1,0.06999343467619111
scale_offset,generator_all,3,2,0.05144859593074395
scale_offset,generator_all,4,2,0.06329577119758238
scale_offset,generator_all,5,2,0.06746068566736699
scale_offset,generator_all,6,2,0.06914177322719105
scale_offset,generator_all,7,2,0.06983859920574624
scale_offset,generator_all,8,2,0.06511463541872935
scale_offset,generator_all,3,3,0.023865835117869254
scale_offset,generator_all,4,3,0.028691302577471905
scale_offset,generator_all,5,3,0.029379974543908793
scale_offset,generator_all,6,3,0.02921387427153636
scale_offset,generator_all,7,3,0.02911371604722196
scale_offset,generator_all,8,3,0.02848970470121155
scale_offset,generator_all,3,4,0.029982719854179978
scale_offset,generator_all,4,4,0.030989507270580714
scale_offset,generator_all,5,4,0.03822576929808596
scale_offset,generator_all,6,4,0.04126650989182237
scale_offset,generator_all,7,4,0.039924802890359545
scale_offset,generator_all,8,4,0.040170604014243654
scale_offset,generator_all,3,5,0.03248704218318202
scale_offset,generator_all,4,5,0.03644113167824042
scale_offset,generator_all,5,5,0.03705428761505665
scale_offset,generator_all,6,5,0.03554281918616321
scale_offset,generator_all,7,5,0.03761172144039195
scale_offset,generator_all,8,5,0.040015597013771186
