cutoff,target,horizon,model,mape
2025-04-07 00:00:00,generator_all,5,seasonal,0.13091323493627258
2025-04-07 00:00:00,generator_all,5,lgb_residual,0.06956730452935293
2025-04-07 00:00:00,generator_all,5,cat_residual,0.06846565607267482
2025-04-07 00:00:00,generator_all,6,persistence,0.08236674278396303
2025-04-07 00:00:00,generator_all,6,ema,0.085676875387267
2025-04-07 00:00:00,generator_all,6,seasonal,0.13034944076667715
2025-04-07 00:00:00,generator_all,6,lgb_residual,0.07478239215293134
2025-04-07 00:00:00,generator_all,6,cat_residual,0.07492625302291477
2025-04-07 00:00:00,generator_all,7,persistence,0.0880229652324236
2025-04-07 00:00:00,generator_all,7,ema,0.09021963850604121
2025-04-07 00:00:00,generator_all,7,seasonal,0.1299264486239908
2025-04-07 00:00:00,generator_all,7,lgb_residual,0.07599476904827046
2025-04-07 00:00:00,generator_all,7,cat_residual,0.0770422529796491
2025-04-07 00:00:00,generator_all,8,persistence,0.09265858297568723
2025-04-07 00:00:00,generator_all,8,ema,0.09369901982439015
2025-04-07 00:00:00,generator_all,8,seasonal,0.12986544078214632
2025-04-07 00:00:00,generator_all,8,lgb_residual,0.07911535989539077
2025-04-07 00:00:00,generator_all,8,cat_residual,0.07818563281815981
2025-04-07 00:00:00,generator_all,16,persistence,0.10437720785663951
2025-04-07 00:00:00,generator_all,16,ema,0.10012777056122706
2025-04-07 00:00:00,generator_all,16,seasonal,0.13447928362977915
2025-04-07 00:00:00,generator_all,16,lgb_residual,0.08390354771639662
2025-04-07 00:00:00,generator_all,16,cat_residual,0.08812517916661262
2025-04-07 00:00:00,generator_all,24,persistence,0.10795664496293485
2025-04-07 00:00:00,generator_all,24,ema,0.10642157259385798
2025-04-07 00:00:00,generator_all,24,seasonal,0.13690327479416423
2025-04-07 00:00:00,generator_all,24,lgb_residual,0.09312745963523199
2025-04-07 00:00:00,generator_all,24,cat_residual,0.09020196358681963
2025-04-07 00:00:00,generator_all,48,persistence,0.12289579132203404
2025-04-07 00:00:00,generator_all,48,ema,0.11765494722968213
2025-04-07 00:00:00,generator_all,48,seasonal,0.12744467307179805
2025-04-07 00:00:00,generator_all,48,lgb_residual,0.09710465478286996
2025-04-07 00:00:00,generator_all,48,cat_residual,0.09219327166129898
2025-04-07 00:00:00,generator_all,96,persistence,0.12060921308831896
2025-04-07 00:00:00,generator_all,96,ema,0.11862583106363593
2025-04-07 00:00:00,generator_all,96,seasonal,0.12060921308831896
2025-04-07 00:00:00,generator_all,96,lgb_residual,0.11572751300758018
2025-04-07 00:00:00,generator_all,96,cat_residual,0.11182647571726516
2025-04-18 00:00:00,generator_1,1,persistence,0.02401580692583923
2025-04-18 00:00:00,generator_1,1,ema,0.029922158802882917
2025-04-18 00:00:00,generator_1,1,seasonal,0.3800885964424989
2025-04-18 00:00:00,generator_1,1,lgb_residual,0.023922569836164486
2025-04-18 00:00:00,generator_1,1,cat_residual,0.024125872723667886
2025-04-18 00:00:00,generator_1,2,persistence,0.03474153368294345
2025-04-18 00:00:00,generator_1,2,ema,0.03902237762462346
2025-04-18 00:00:00,generator_1,2,seasonal,0.3797215604972186
2025-04-18 00:00:00,generator_1,2,lgb_residual,0.034292214497205785
2025-04-18 00:00:00,generator_1,2,cat_residual,0.03408798934605354
2025-04-18 00:00:00,generator_1,3,persistence,0.040630106921016984
2025-04-18 00:00:00,generator_1,3,ema,0.04658687487198052
2025-04-18 00:00:00,generator_1,3,seasonal,0.3791502723644429
2025-04-18 00:00:00,generator_1,3,lgb_residual,0.040225493808429484
2025-04-18 00:00:00,generator_1,3,cat_residual,0.04023733710440258
2025-04-18 00:00:00,generator_1,4,persistence,0.04814737840543265
2025-04-18 00:00:00,generator_1,4,ema,0.05409663747980503
2025-04-18 00:00:00,generator_1,4,seasonal,0.3784381064639615
2025-04-18 00:00:00,generator_1,4,lgb_residual,0.048033381096537375
2025-04-18 00:00:00,generator_1,4,cat_residual,0.04790027364614103
2025-04-18 00:00:00,generator_1,5,persistence,0.05604040020286354
2025-04-18 00:00:00,generator_1,5,ema,0.06030449450606429
2025-04-18 00:00:00,generator_1,5,seasonal,0.37731780963621847
2025-04-18 00:00:00,generator_1,5,lgb_residual,0.055706234696000355
2025-04-18 00:00:00,generator_1,5,cat_residual,0.05493760856444782
2025-04-18 00:00:00,generator_1,6,persistence,0.062282726111680536
2025-04-18 00:00:00,generator_1,6,ema,0.06631375623144961
2025-04-18 00:00:00,generator_1,6,seasonal,0.37670637397887413
2025-04-18 00:00:00,generator_1,6,lgb_residual,0.06266672843174616
2025-04-18 00:00:00,generator_1,6,cat_residual,0.061741034425651854
2025-04-18 00:00:00,generator_1,7,persistence,0.06840989761921078
2025-04-18 00:00:00,generator_1,7,ema,0.07200964079829568
2025-04-18 00:00:00,generator_1,7,seasonal,0.3759196769200472
2025-04-18 00:00:00,generator_1,7,lgb_residual,0.06824772998345992
2025-04-18 00:00:00,generator_1,7,cat_residual,0.06798253683323051
2025-04-18 00:00:00,generator_1,8,persistence,0.07312403115354368
2025-04-18 00:00:00,generator_1,8,ema,0.07678053939915276
2025-04-18 00:00:00,generator_1,8,seasonal,0.3754558162886501
2025-04-18 00:00:00,generator_1,8,lgb_residual,0.07262636829520563
2025-04-18 00:00:00,generator_1,8,cat_residual,0.07251098015774739
2025-04-18 00:00:00,generator_1,16,persistence,0.10435389430450603
2025-04-18 00:00:00,generator_1,16,ema,0.10679012765296929
2025-04-18 00:00:00,generator_1,16,seasonal,0.37018005643329
2025-04-18 00:00:00,generator_1,16,lgb_residual,0.10378548972385797
2025-04-18 00:00:00,generator_1,16,cat_residual,0.10269235429083202
2025-04-18 00:00:00,generator_1,24,persistence,0.12457879550224
2025-04-18 00:00:00,generator_1,24,ema,0.12427460222723476
2025-04-18 00:00:00,generator_1,24,seasonal,0.3545178999854055
2025-04-18 00:00:00,generator_1,24,lgb_residual,0.12415286279093195
2025-04-18 00:00:00,generator_1,24,cat_residual,0.1263966133697172
2025-04-18 00:00:00,generator_1,48,persistence,0.1650718011430926
2025-04-18 00:00:00,generator_1,48,ema,0.16726499468917713
2025-04-18 00:00:00,generator_1,48,seasonal,0.3032727456641808
2025-04-18 00:00:00,generator_1,48,lgb_residual,0.18171817225513198
2025-04-18 00:00:00,generator_1,48,cat_residual,0.17670933672607889
2025-04-18 00:00:00,generator_1,96,persistence,0.18854713519983002
2025-04-18 00:00:00,generator_1,96,ema,0.1904902025369398
2025-04-18 00:00:00,generator_1,96,seasonal,0.18854713519983002
2025-04-18 00:00:00,generator_1,96,lgb_residual,0.2638699876890879
2025-04-18 00:00:00,generator_1,96,cat_residual,0.24455180995221415
2025-04-18 00:00:00,generator_all,1,persistence,0.012610410711453345
2025-04-18 00:00:00,generator_all,1,ema,0.016797285434878052
2025-04-18 00:00:00,generator_all,1,seasonal,0.13668283071126472
2025-04-18 00:00:00,generator_all,1,lgb_residual,0.011783886446850363
2025-04-18 00:00:00,generator_all,1,cat_residual,0.011961875658803666
2025-04-18 00:00:00,generator_all,2,persistence,0.019055764592194883
2025-04-18 00:00:00,generator_all,2,ema,0.022629115120149687
2025-04-18 00:00:00,generator_all,2,seasonal,0.13769632604043533
2025-04-18 00:00:00,generator_all,2,lgb_residual,0.017701802195010222
2025-04-18 00:00:00,generator_all,2,cat_residual,0.017639631800098202
2025-04-18 00:00:00,generator_all,3,persistence,0.023513436075871686
2025-04-18 00:00:00,generator_all,3,ema,0.027401700887386637
2025-04-18 00:00:00,generator_all,3,seasonal,0.1385498920520429
2025-04-18 00:00:00,generator_all,3,lgb_residual,0.021584818074472958
2025-04-18 00:00:00,generator_all,3,cat_residual,0.02164736783647016
2025-04-18 00:00:00,generator_all,4,persistence,0.028157963242909385
2025-04-18 00:00:00,generator_all,4,ema,0.03216532311399587
2025-04-18 00:00:00,generator_all,4,seasonal,0.13943818201085725
2025-04-18 00:00:00,generator_all,4,lgb_residual,0.026402448018917574
2025-04-18 00:00:00,generator_all,4,cat_residual,0.027072543642286544
2025-04-18 00:00:00,generator_all,5,persistence,0.03331955650529873
2025-04-18 00:00:00,generator_all,5,ema,0.03643765040378829
2025-04-18 00:00:00,generator_all,5,seasonal,0.14007491930666063
2025-04-18 00:00:00,generator_all,5,lgb_residual,0.03177895121137466
2025-04-18 00:00:00,generator_all,5,cat_residual,0.03192289193214732
2025-04-18 00:00:00,generator_all,6,persistence,0.037470871292010516
2025-04-18 00:00:00,generator_all,6,ema,0.04033840168095113
2025-04-18 00:00:00,generator_all,6,seasonal,0.14081436595559269
2025-04-18 00:00:00,generator_all,6,lgb_residual,0.03504145783902855
2025-04-18 00:00:00,generator_all,6,cat_residual,0.0374630560464177
2025-04-18 00:00:00,generator_all,7,persistence,0.041090605716917195
2025-04-18 00:00:00,generator_all,7,ema,0.043966311855655305
2025-04-18 00:00:00,generator_all,7,seasonal,0.14160755137078165
2025-04-18 00:00:00,generator_all,7,lgb_residual,0.03849259318601946
2025-04-18 00:00:00,generator_all,7,cat_residual,0.03881694435817528
2025-04-18 00:00:00,generator_all,8,persistence,0.04463086453313329
2025-04-18 00:00:00,generator_all,8,ema,0.04725330877801536
2025-04-18 00:00:00,generator_all,8,seasonal,0.1426808850891005
2025-04-18 00:00:00,generator_all,8,lgb_residual,0.0417944000745362
2025-04-18 00:00:00,generator_all,8,cat_residual,0.044308214965348765
2025-04-18 00:00:00,generator_all,16,persistence,0.06432054145012113
2025-04-18 00:00:00,generator_all,16,ema,0.06514673223345822
2025-04-18 00:00:00,generator_all,16,seasonal,0.1500701654540343
2025-04-18 00:00:00,generator_all,16,lgb_residual,0.062020644514019396
2025-04-18 00:00:00,generator_all,16,cat_residual,0.06373952035840542
2025-04-18 00:00:00,generator_all,24,persistence,0.07964753263336162
2025-04-18 00:00:00,generator_all,24,ema,0.08178645714668557
2025-04-18 00:00:00,generator_all,24,seasonal,0.1627002821902939
2025-04-18 00:00:00,generator_all,24,lgb_residual,0.078397272135026
2025-04-18 00:00:00,generator_all,24,cat_residual,0.08631249660129205
2025-04-18 00:00:00,generator_all,48,persistence,0.13524256379255015
2025-04-18 00:00:00,generator_all,48,ema,0.1387783071550977
2025-04-18 00:00:00,generator_all,48,seasonal,0.198468698395268
2025-04-18 00:00:00,generator_all,48,lgb_residual,0.1408447855134964
2025-04-18 00:00:00,generator_all,48,cat_residual,0.15427409068821316
2025-04-18 00:00:00,generator_all,96,persistence,0.2195812733844803
2025-04-18 00:00:00,generator_all,96,ema,0.21899645664334788
2025-04-18 00:00:00,generator_all,96,seasonal,0.2195812733844803
2025-04-18 00:00:00,generator_all,96,lgb_residual,0.22911691732256323
2025-04-18 00:00:00,generator_all,96,cat_residual,0.22090146395218388
2025-04-27 00:00:00,generator_1,1,persistence,0.03187946989139355
2025-04-27 00:00:00,generator_1,1,ema,0.03548938357917129
2025-04-27 00:00:00,generator_1,1,seasonal,0.09118595085051852
2025-04-27 00:00:00,generator_1,1,lgb_residual,0.030946939134321148
2025-04-27 00:00:00,generator_1,1,cat_residual,0.030647755047610258
2025-04-27 00:00:00,generator_1,1,selected_ensemble,0.03074325005322045
2025-04-27 00:00:00,generator_1,2,persistence,0.04070204224772903
2025-04-27 00:00:00,generator_1,2,ema,0.043545101978989274
2025-04-27 00:00:00,generator_1,2,seasonal,0.09097100436718321
2025-04-27 00:00:00,generator_1,2,lgb_residual,0.039582610872852905
2025-04-27 00:00:00,generator_1,2,cat_residual,0.039545241343640736
2025-04-27 00:00:00,generator_1,2,selected_ensemble,0.03927774189933973
2025-04-27 00:00:00,generator_1,3,persistence,0.046167887250722156
2025-04-27 00:00:00,generator_1,3,ema,0.050707056777363875
2025-04-27 00:00:00,generator_1,3,seasonal,0.09096661620283263
2025-04-27 00:00:00,generator_1,3,lgb_residual,0.044734213497365664
2025-04-27 00:00:00,generator_1,3,cat_residual,0.04449013865518188
2025-04-27 00:00:00,generator_1,3,selected_ensemble,0.04455965780423373
2025-04-27 00:00:00,generator_1,4,persistence,0.058452729094831866
2025-04-27 00:00:00,generator_1,4,ema,0.05834725000504023
2025-04-27 00:00:00,generator_1,4,seasonal,0.09060492266209923
2025-04-27 00:00:00,generator_1,4,lgb_residual,0.056192969311858035
2025-04-27 00:00:00,generator_1,4,cat_residual,0.055981107265903496
2025-04-27 00:00:00,generator_1,4,selected_ensemble,0.055963720469396135
2025-04-27 00:00:00,generator_1,5,persistence,0.0632984507676348
2025-04-27 00:00:00,generator_1,5,ema,0.06345806565622567
2025-04-27 00:00:00,generator_1,5,seasonal,0.091227509879865
2025-04-27 00:00:00,generator_1,5,lgb_residual,0.06062532356148616
2025-04-27 00:00:00,generator_1,5,cat_residual,0.05995386809537008
2025-04-27 00:00:00,generator_1,5,selected_ensemble,0.060299462137035055
2025-04-27 00:00:00,generator_1,6,persistence,0.06858457777155617
2025-04-27 00:00:00,generator_1,6,ema,0.06794092402136963
2025-04-27 00:00:00,generator_1,6,seasonal,0.09201416058688587
2025-04-27 00:00:00,generator_1,6,lgb_residual,0.06417062771788815
2025-04-27 00:00:00,generator_1,6,cat_residual,0.06368972959636138
2025-04-27 00:00:00,generator_1,6,selected_ensemble,0.06394194345091532
2025-04-27 00:00:00,generator_1,7,persistence,0.07400900770144524
2025-04-27 00:00:00,generator_1,7,ema,0.07239927337315767
2025-04-27 00:00:00,generator_1,7,seasonal,0.0926000171732704
2025-04-27 00:00:00,generator_1,7,lgb_residual,0.06864829000993788
2025-04-27 00:00:00,generator_1,7,cat_residual,0.06797983182057431
2025-04-27 00:00:00,generator_1,7,selected_ensemble,0.06838623713374418
2025-04-27 00:00:00,generator_1,8,persistence,0.07768691284199836
2025-04-27 00:00:00,generator_1,8,ema,0.07624489928461105
2025-04-27 00:00:00,generator_1,8,seasonal,0.0937784722035693
2025-04-27 00:00:00,generator_1,8,lgb_residual,0.07060240144286788
2025-04-27 00:00:00,generator_1,8,cat_residual,0.07119686684846453
2025-04-27 00:00:00,generator_1,8,selected_ensemble,0.0708250711776672
2025-04-27 00:00:00,generator_1,16,persistence,0.09581910836604227
2025-04-27 00:00:00,generator_1,16,ema,0.09002766300965913
2025-04-27 00:00:00,generator_1,16,seasonal,0.10467098122767587
2025-04-27 00:00:00,generator_1,16,lgb_residual,0.08546805489347284
2025-04-27 00:00:00,generator_1,16,cat_residual,0.08748939674922174
2025-04-27 00:00:00,generator_1,16,selected_ensemble,0.08621059194979913
2025-04-27 00:00:00,generator_1,24,persistence,0.10045639712080409
2025-04-27 00:00:00,generator_1,24,ema,0.09652940274636343
2025-04-27 00:00:00,generator_1,24,seasonal,0.1113899148229038
2025-04-27 00:00:00,generator_1,24,lgb_residual,0.09168506120311186
2025-04-27 00:00:00,generator_1,24,cat_residual,0.08861396811851055
2025-04-27 00:00:00,generator_1,24,selected_ensemble,0.09001195304699892
2025-04-27 00:00:00,generator_1,48,persistence,0.14812611980384371
2025-04-27 00:00:00,generator_1,48,ema,0.14850739468664484
2025-04-27 00:00:00,generator_1,48,seasonal,0.13007720271520573
2025-04-27 00:00:00,generator_1,48,lgb_residual,0.13238566630990106
2025-04-27 00:00:00,generator_1,48,cat_residual,0.1422014610694776
2025-04-27 00:00:00,generator_1,48,selected_ensemble,0.1431943883997476
2025-04-27 00:00:00,generator_1,96,persistence,0.1290056062265591
2025-04-27 00:00:00,generator_1,96,ema,0.12453727478655906
2025-04-27 00:00:00,generator_1,96,seasonal,0.1290056062265591
2025-04-27 00:00:00,generator_1,96,lgb_residual,0.12293740591645136
2025-04-27 00:00:00,generator_1,96,cat_residual,0.1430749582574475
2025-04-27 00:00:00,generator_1,96,selected_ensemble,0.12453727478655906
2025-04-27 00:00:00,generator_all,1,persistence,0.016302492764797196
2025-04-27 00:00:00,generator_all,1,ema,0.0231189029700563
2025-04-27 00:00:00,generator_all,1,seasonal,0.09139146464044134
2025-04-27 00:00:00,generator_all,1,lgb_residual,0.014927641738769652
2025-04-27 00:00:00,generator_all,1,cat_residual,0.015187537437947351
2025-04-27 00:00:00,generator_all,1,selected_ensemble,0.015037179019946048
2025-04-27 00:00:00,generator_all,2,persistence,0.024861320909881784
2025-04-27 00:00:00,generator_all,2,ema,0.030482680903262865
2025-04-27 00:00:00,generator_all,2,seasonal,0.09154877612376798
2025-04-27 00:00:00,generator_all,2,lgb_residual,0.02242784128429193
2025-04-27 00:00:00,generator_all,2,cat_residual,0.023062600545178082
2025-04-27 00:00:00,generator_all,2,selected_ensemble,0.02271088522854941
2025-04-27 00:00:00,generator_all,3,persistence,0.03233965339861585
2025-04-27 00:00:00,generator_all,3,ema,0.0373178639986009
2025-04-27 00:00:00,generator_all,3,seasonal,0.09160255901212247
2025-04-27 00:00:00,generator_all,3,lgb_residual,0.027736248414812054
2025-04-27 00:00:00,generator_all,3,cat_residual,0.028026376380027522
2025-04-27 00:00:00,generator_all,3,selected_ensemble,0.02781070093895724
2025-04-27 00:00:00,generator_all,4,persistence,0.039837754291870524
2025-04-27 00:00:00,generator_all,4,ema,0.043403338119099286
2025-04-27 00:00:00,generator_all,4,seasonal,0.09169011525428335
2025-04-27 00:00:00,generator_all,4,lgb_residual,0.03433253830669729
2025-04-27 00:00:00,generator_all,4,cat_residual,0.03509499447046267
2025-04-27 00:00:00,generator_all,4,selected_ensemble,0.03443737904695835
2025-04-27 00:00:00,generator_all,5,persistence,0.045435505768685415
2025-04-27 00:00:00,generator_all,5,ema,0.04887496985487292
2025-04-27 00:00:00,generator_all,5,seasonal,0.09157699526709114
2025-04-27 00:00:00,generator_all,5,lgb_residual,0.0378312406846279
2025-04-27 00:00:00,generator_all,5,cat_residual,0.03847242569491791
2025-04-27 00:00:00,generator_all,5,selected_ensemble,0.03796209205479913
2025-04-27 00:00:00,generator_all,6,persistence,0.05140277970521936
2025-04-27 00:00:00,generator_all,6,ema,0.0537559647620401
2025-04-27 00:00:00,generator_all,6,seasonal,0.09140845950389735
2025-04-27 00:00:00,generator_all,6,lgb_residual,0.041663710470289786
2025-04-27 00:00:00,generator_all,6,cat_residual,0.04289161230295428
2025-04-27 00:00:00,generator_all,6,selected_ensemble,0.04200997460157208
2025-04-27 00:00:00,generator_all,7,persistence,0.05613369725378825
2025-04-27 00:00:00,generator_all,7,ema,0.05804333260278154
2025-04-27 00:00:00,generator_all,7,seasonal,0.09145464238137585
2025-04-27 00:00:00,generator_all,7,lgb_residual,0.04561144721726731
2025-04-27 00:00:00,generator_all,7,cat_residual,0.04719430244364397
2025-04-27 00:00:00,generator_all,7,selected_ensemble,0.04592663260155378
2025-04-27 00:00:00,generator_all,8,persistence,0.060522343702890835
2025-04-27 00:00:00,generator_all,8,ema,0.061993427135383916
2025-04-27 00:00:00,generator_all,8,seasonal,0.091559616473303
2025-04-27 00:00:00,generator_all,8,lgb_residual,0.04721668614616501
2025-04-27 00:00:00,generator_all,8,cat_residual,0.04818782698947684
2025-04-27 00:00:00,generator_all,8,selected_ensemble,0.04747028808628826
2025-04-27 00:00:00,generator_all,16,persistence,0.08051351816724256
2025-04-27 00:00:00,generator_all,16,ema,0.07429111348881612
2025-04-27 00:00:00,generator_all,16,seasonal,0.09435156224320365
2025-04-27 00:00:00,generator_all,16,lgb_residual,0.06415486433442939
2025-04-27 00:00:00,generator_all,16,cat_residual,0.06535464840914341
2025-04-27 00:00:00,generator_all,16,selected_ensemble,0.06411260124237686
2025-04-27 00:00:00,generator_all,24,persistence,0.07043108765320914
