cutoff,candidate,period,target,model,mape
2025-04-18 00:00:00,half_life_45d,long_sampled,generator_1,ema,0.15098819255099907
2025-04-18 00:00:00,half_life_45d,long_sampled,generator_1,learned_mean,0.16381847833991783
2025-04-18 00:00:00,half_life_45d,long_sampled,generator_1,lgb_residual,0.16700731824213016
2025-04-18 00:00:00,half_life_45d,long_sampled,generator_1,persistence,0.1497280383157661
2025-04-18 00:00:00,half_life_45d,long_sampled,generator_1,seasonal,0.3056002339919684
2025-04-18 00:00:00,half_life_45d,long_sampled,generator_all,cat_residual,0.13394590885097174
2025-04-18 00:00:00,half_life_45d,long_sampled,generator_all,ema,0.13071882772458293
2025-04-18 00:00:00,half_life_45d,long_sampled,generator_all,learned_mean,0.13546908417308245
2025-04-18 00:00:00,half_life_45d,long_sampled,generator_all,lgb_residual,0.13735808139520514
2025-04-18 00:00:00,half_life_45d,long_sampled,generator_all,persistence,0.1286942346438807
2025-04-18 00:00:00,half_life_45d,long_sampled,generator_all,seasonal,0.18702003305656048
2025-04-18 00:00:00,half_life_45d,short,generator_1,cat_residual,0.05014200219450263
2025-04-18 00:00:00,half_life_45d,short,generator_1,ema,0.05562955996428179
2025-04-18 00:00:00,half_life_45d,short,generator_1,learned_mean,0.0502642942097255
2025-04-18 00:00:00,half_life_45d,short,generator_1,lgb_residual,0.05049036519699304
2025-04-18 00:00:00,half_life_45d,short,generator_1,persistence,0.05092398512781636
2025-04-18 00:00:00,half_life_45d,short,generator_1,seasonal,0.377849776573989
2025-04-18 00:00:00,half_life_45d,short,generator_all,cat_residual,0.02855378005713681
2025-04-18 00:00:00,half_life_45d,short,generator_all,ema,0.03337363715935254
2025-04-18 00:00:00,half_life_45d,short,generator_all,learned_mean,0.028440204969721182
2025-04-18 00:00:00,half_life_45d,short,generator_all,lgb_residual,0.028487834102110643
2025-04-18 00:00:00,half_life_45d,short,generator_all,persistence,0.029981184083723626
2025-04-18 00:00:00,half_life_45d,short,generator_all,seasonal,0.13969311906709198
2025-04-27 00:00:00,half_life_14d,long_sampled,generator_1,cat_residual,0.1025242236866814
2025-04-27 00:00:00,half_life_14d,long_sampled,generator_1,ema,0.11945115925292166
2025-04-27 00:00:00,half_life_14d,long_sampled,generator_1,learned_mean,0.09934542155546758
2025-04-27 00:00:00,half_life_14d,long_sampled,generator_1,lgb_residual,0.09715445853326318
2025-04-27 00:00:00,half_life_14d,long_sampled,generator_1,persistence,0.12264112161037852
2025-04-27 00:00:00,half_life_14d,long_sampled,generator_1,seasonal,0.11983278716160163
2025-04-27 00:00:00,half_life_14d,long_sampled,generator_all,cat_residual,0.0967234685357167
2025-04-27 00:00:00,half_life_14d,long_sampled,generator_all,ema,0.1253347764333868
2025-04-27 00:00:00,half_life_14d,long_sampled,generator_all,learned_mean,0.0955307681423892
2025-04-27 00:00:00,half_life_14d,long_sampled,generator_all,lgb_residual,0.09558546108160865
2025-04-27 00:00:00,half_life_14d,long_sampled,generator_all,persistence,0.12693624384131316
2025-04-27 00:00:00,half_life_14d,long_sampled,generator_all,seasonal,0.13445010605323957
2025-04-27 00:00:00,half_life_14d,short,generator_1,cat_residual,0.0497214868890582
2025-04-27 00:00:00,half_life_14d,short,generator_1,ema,0.05851649433449108
2025-04-27 00:00:00,half_life_14d,short,generator_1,learned_mean,0.04918359275814084
2025-04-27 00:00:00,half_life_14d,short,generator_1,lgb_residual,0.048941356219192315
2025-04-27 00:00:00,half_life_14d,short,generator_1,persistence,0.0575976346959139
2025-04-27 00:00:00,half_life_14d,short,generator_1,seasonal,0.09166858174077802
2025-04-27 00:00:00,half_life_14d,short,generator_all,cat_residual,0.033560583854673094
