cutoff,candidate,target,horizon,model,mape
2025-04-07 00:00:00,half_life_14d,generator_1,32,ema,0.16988383947769992
2025-04-07 00:00:00,half_life_14d,generator_1,32,seasonal,0.14942779759172722
2025-04-07 00:00:00,half_life_14d,generator_1,32,lgb_residual,0.12376656555450179
2025-04-07 00:00:00,half_life_14d,generator_1,32,cat_residual,0.1290472845406331
2025-04-07 00:00:00,half_life_14d,generator_1,32,learned_mean,0.12594043230958377
2025-04-07 00:00:00,half_life_14d,generator_1,48,persistence,0.1802356122509107
2025-04-07 00:00:00,half_life_14d,generator_1,48,ema,0.1755939646476122
2025-04-07 00:00:00,half_life_14d,generator_1,48,seasonal,0.15258070149495628
2025-04-07 00:00:00,half_life_14d,generator_1,48,lgb_residual,0.1489831413729446
2025-04-07 00:00:00,half_life_14d,generator_1,48,cat_residual,0.1444227836612725
2025-04-07 00:00:00,half_life_14d,generator_1,48,learned_mean,0.1459558788752693
2025-04-07 00:00:00,half_life_14d,generator_1,64,persistence,0.19958586998274938
2025-04-07 00:00:00,half_life_14d,generator_1,64,ema,0.19588285807936898
2025-04-07 00:00:00,half_life_14d,generator_1,64,seasonal,0.15522641814234642
2025-04-07 00:00:00,half_life_14d,generator_1,64,lgb_residual,0.14812499622958708
2025-04-07 00:00:00,half_life_14d,generator_1,64,cat_residual,0.14251025647297996
2025-04-07 00:00:00,half_life_14d,generator_1,64,learned_mean,0.14293831894162898
2025-04-07 00:00:00,half_life_14d,generator_1,72,persistence,0.19873389876556413
2025-04-07 00:00:00,half_life_14d,generator_1,72,ema,0.19364798089186497
2025-04-07 00:00:00,half_life_14d,generator_1,72,seasonal,0.15290067752710687
2025-04-07 00:00:00,half_life_14d,generator_1,72,lgb_residual,0.1453610411871862
2025-04-07 00:00:00,half_life_14d,generator_1,72,cat_residual,0.17141503077169581
2025-04-07 00:00:00,half_life_14d,generator_1,72,learned_mean,0.15517645817408734
2025-04-07 00:00:00,half_life_14d,generator_1,96,persistence,0.14746790413566058
2025-04-07 00:00:00,half_life_14d,generator_1,96,ema,0.1413411713291617
2025-04-07 00:00:00,half_life_14d,generator_1,96,seasonal,0.14746790413566058
2025-04-07 00:00:00,half_life_14d,generator_1,96,lgb_residual,0.15172324321356576
2025-04-07 00:00:00,half_life_14d,generator_1,96,cat_residual,0.1623337025331426
2025-04-07 00:00:00,half_life_14d,generator_1,96,learned_mean,0.15685227616660916
2025-04-07 00:00:00,half_life_14d,generator_all,1,persistence,0.0230770669618922
2025-04-07 00:00:00,half_life_14d,generator_all,1,ema,0.03854594564316802
2025-04-07 00:00:00,half_life_14d,generator_all,1,seasonal,0.1344467336063281
2025-04-07 00:00:00,half_life_14d,generator_all,1,lgb_residual,0.02048288556599391
2025-04-07 00:00:00,half_life_14d,generator_all,1,cat_residual,0.020761318385022473
2025-04-07 00:00:00,half_life_14d,generator_all,1,learned_mean,0.02056327762532672
2025-04-07 00:00:00,half_life_14d,generator_all,2,persistence,0.03959906255389822
2025-04-07 00:00:00,half_life_14d,generator_all,2,ema,0.05134993124535402
2025-04-07 00:00:00,half_life_14d,generator_all,2,seasonal,0.1334260062918566
2025-04-07 00:00:00,half_life_14d,generator_all,2,lgb_residual,0.0369292400710847
2025-04-07 00:00:00,half_life_14d,generator_all,2,cat_residual,0.036797695217123345
2025-04-07 00:00:00,half_life_14d,generator_all,2,learned_mean,0.03676453796110025
2025-04-07 00:00:00,half_life_14d,generator_all,3,persistence,0.0531174393775008
2025-04-07 00:00:00,half_life_14d,generator_all,3,ema,0.06252884848561725
2025-04-07 00:00:00,half_life_14d,generator_all,3,seasonal,0.13229658220422677
2025-04-07 00:00:00,half_life_14d,generator_all,3,lgb_residual,0.04964277199385377
2025-04-07 00:00:00,half_life_14d,generator_all,3,cat_residual,0.04909893848723107
2025-04-07 00:00:00,half_life_14d,generator_all,3,learned_mean,0.04911699308527118
2025-04-07 00:00:00,half_life_14d,generator_all,4,persistence,0.06445145371913501
2025-04-07 00:00:00,half_life_14d,generator_all,4,ema,0.07177924305251861
2025-04-07 00:00:00,half_life_14d,generator_all,4,seasonal,0.13148866857051478
2025-04-07 00:00:00,half_life_14d,generator_all,4,lgb_residual,0.0595336860214282
2025-04-07 00:00:00,half_life_14d,generator_all,4,cat_residual,0.05952445995894378
2025-04-07 00:00:00,half_life_14d,generator_all,4,learned_mean,0.05924571742604068
2025-04-07 00:00:00,half_life_14d,generator_all,5,persistence,0.07475106980289567
2025-04-07 00:00:00,half_life_14d,generator_all,5,ema,0.07914659266908257
2025-04-07 00:00:00,half_life_14d,generator_all,5,seasonal,0.13091323493627258
2025-04-07 00:00:00,half_life_14d,generator_all,5,lgb_residual,0.06863829774103891
2025-04-07 00:00:00,half_life_14d,generator_all,5,cat_residual,0.06724867457078745
2025-04-07 00:00:00,half_life_14d,generator_all,5,learned_mean,0.06763325172862976
2025-04-07 00:00:00,half_life_14d,generator_all,6,persistence,0.08236674278396303
2025-04-07 00:00:00,half_life_14d,generator_all,6,ema,0.085676875387267
2025-04-07 00:00:00,half_life_14d,generator_all,6,seasonal,0.13034944076667715
2025-04-07 00:00:00,half_life_14d,generator_all,6,lgb_residual,0.07492665160908478
2025-04-07 00:00:00,half_life_14d,generator_all,6,cat_residual,0.07414074393372418
2025-04-07 00:00:00,half_life_14d,generator_all,6,learned_mean,0.07404919072245074
2025-04-07 00:00:00,half_life_14d,generator_all,7,persistence,0.0880229652324236
2025-04-07 00:00:00,half_life_14d,generator_all,7,ema,0.09021963850604121
2025-04-07 00:00:00,half_life_14d,generator_all,7,seasonal,0.1299264486239908
2025-04-07 00:00:00,half_life_14d,generator_all,7,lgb_residual,0.07363780061715548
2025-04-07 00:00:00,half_life_14d,generator_all,7,cat_residual,0.07641416975089908
2025-04-07 00:00:00,half_life_14d,generator_all,7,learned_mean,0.07444893306256391
2025-04-07 00:00:00,half_life_14d,generator_all,8,persistence,0.09265858297568723
2025-04-07 00:00:00,half_life_14d,generator_all,8,ema,0.09369901982439015
2025-04-07 00:00:00,half_life_14d,generator_all,8,seasonal,0.12986544078214632
2025-04-07 00:00:00,half_life_14d,generator_all,8,lgb_residual,0.07903112425303183
2025-04-07 00:00:00,half_life_14d,generator_all,8,cat_residual,0.07893536386170978
2025-04-07 00:00:00,half_life_14d,generator_all,8,learned_mean,0.07884982818978457
2025-04-07 00:00:00,half_life_14d,generator_all,12,persistence,0.10087447459623546
2025-04-07 00:00:00,half_life_14d,generator_all,12,ema,0.09905735146719008
2025-04-07 00:00:00,half_life_14d,generator_all,12,seasonal,0.13269629563093588
2025-04-07 00:00:00,half_life_14d,generator_all,12,lgb_residual,0.08176828383050516
2025-04-07 00:00:00,half_life_14d,generator_all,12,cat_residual,0.08186524742542088
2025-04-07 00:00:00,half_life_14d,generator_all,12,learned_mean,0.08108194079583846
2025-04-07 00:00:00,half_life_14d,generator_all,16,persistence,0.10437720785663951
2025-04-07 00:00:00,half_life_14d,generator_all,16,ema,0.10012777056122706
2025-04-07 00:00:00,half_life_14d,generator_all,16,seasonal,0.13447928362977915
2025-04-07 00:00:00,half_life_14d,generator_all,16,lgb_residual,0.09413389691504188
2025-04-07 00:00:00,half_life_14d,generator_all,16,cat_residual,0.09184160723885322
2025-04-07 00:00:00,half_life_14d,generator_all,16,learned_mean,0.09224324734726973
2025-04-07 00:00:00,half_life_14d,generator_all,24,persistence,0.10795664496293485
2025-04-07 00:00:00,half_life_14d,generator_all,24,ema,0.10642157259385798
2025-04-07 00:00:00,half_life_14d,generator_all,24,seasonal,0.13690327479416423
2025-04-07 00:00:00,half_life_14d,generator_all,24,lgb_residual,0.09787779302504347
2025-04-07 00:00:00,half_life_14d,generator_all,24,cat_residual,0.09012565657659387
2025-04-07 00:00:00,half_life_14d,generator_all,24,learned_mean,0.09294567098102306
