target,horizon,model,mape,scored,cutoff
generator_1,16,persistence,0.12035358674650472,192,2025-04-07 00:00:00
generator_1,24,persistence,0.1426092353780015,192,2025-04-07 00:00:00
generator_1,32,persistence,0.1725868123043582,192,2025-04-07 00:00:00
generator_1,48,persistence,0.1802356122509107,192,2025-04-07 00:00:00
generator_1,64,persistence,0.19958586998274938,192,2025-04-07 00:00:00
generator_1,72,persistence,0.19873389876556413,192,2025-04-07 00:00:00
generator_1,96,persistence,0.14746790413566058,192,2025-04-07 00:00:00
generator_all,1,persistence,0.0230770669618922,192,2025-04-07 00:00:00
generator_all,2,persistence,0.03959906255389822,192,2025-04-07 00:00:00
generator_all,3,persistence,0.0531174393775008,192,2025-04-07 00:00:00
generator_all,4,persistence,0.06445145371913501,192,2025-04-07 00:00:00
generator_all,5,persistence,0.07475106980289567,192,2025-04-07 00:00:00
generator_all,6,persistence,0.08236674278396303,192,2025-04-07 00:00:00
generator_all,7,persistence,0.0880229652324236,192,2025-04-07 00:00:00
generator_all,8,persistence,0.09265858297568723,192,2025-04-07 00:00:00
generator_all,12,persistence,0.10087447459623546,192,2025-04-07 00:00:00
generator_all,16,persistence,0.10437720785663951,192,2025-04-07 00:00:00
generator_all,24,persistence,0.10795664496293485,192,2025-04-07 00:00:00
generator_all,32,persistence,0.12604316434298765,192,2025-04-07 00:00:00
generator_all,48,persistence,0.12289579132203404,192,2025-04-07 00:00:00
generator_all,64,persistence,0.12637880744896116,192,2025-04-07 00:00:00
generator_all,72,persistence,0.13905095062723524,192,2025-04-07 00:00:00
generator_all,96,persistence,0.12060921308831896,192,2025-04-07 00:00:00
generator_1,1,ema,0.03852700403444829,192,2025-04-07 00:00:00
generator_1,2,ema,0.04785078715585669,192,2025-04-07 00:00:00
generator_1,3,ema,0.055865271108729804,192,2025-04-07 00:00:00
generator_1,4,ema,0.06280309043616315,192,2025-04-07 00:00:00
generator_1,5,ema,0.06934985854170884,192,2025-04-07 00:00:00
generator_1,6,ema,0.0754278184474018,192,2025-04-07 00:00:00
generator_1,7,ema,0.08107908267571595,192,2025-04-07 00:00:00
generator_1,8,ema,0.0855465101801152,192,2025-04-07 00:00:00
generator_1,12,ema,0.10254910166476645,192,2025-04-07 00:00:00
generator_1,16,ema,0.12153037788386667,192,2025-04-07 00:00:00
generator_1,24,ema,0.14387765736028144,192,2025-04-07 00:00:00
generator_1,32,ema,0.16988383947769992,192,2025-04-07 00:00:00
generator_1,48,ema,0.1755939646476122,192,2025-04-07 00:00:00
generator_1,64,ema,0.19588285807936898,192,2025-04-07 00:00:00
generator_1,72,ema,0.19364798089186497,192,2025-04-07 00:00:00
generator_1,96,ema,0.1413411713291617,192,2025-04-07 00:00:00
generator_all,1,ema,0.03854594564316802,192,2025-04-07 00:00:00
generator_all,2,ema,0.05134993124535402,192,2025-04-07 00:00:00
generator_all,3,ema,0.06252884848561725,192,2025-04-07 00:00:00
generator_all,4,ema,0.07177924305251861,192,2025-04-07 00:00:00
generator_all,5,ema,0.07914659266908257,192,2025-04-07 00:00:00
generator_all,6,ema,0.085676875387267,192,2025-04-07 00:00:00
generator_all,7,ema,0.09021963850604121,192,2025-04-07 00:00:00
generator_all,8,ema,0.09369901982439015,192,2025-04-07 00:00:00
generator_all,12,ema,0.09905735146719008,192,2025-04-07 00:00:00
generator_all,16,ema,0.10012777056122706,192,2025-04-07 00:00:00
generator_all,24,ema,0.10642157259385798,192,2025-04-07 00:00:00
generator_all,32,ema,0.12424642700995846,192,2025-04-07 00:00:00
generator_all,48,ema,0.11765494722968213,192,2025-04-07 00:00:00
generator_all,64,ema,0.12535208272803802,192,2025-04-07 00:00:00
generator_all,72,ema,0.13632498509376326,192,2025-04-07 00:00:00
generator_all,96,ema,0.11862583106363593,192,2025-04-07 00:00:00
generator_1,1,seasonal,0.14565490119127134,192,2025-04-07 00:00:00
generator_1,2,seasonal,0.14505465853024882,192,2025-04-07 00:00:00
generator_1,3,seasonal,0.14447356638984277,192,2025-04-07 00:00:00
generator_1,4,seasonal,0.14455305553451936,192,2025-04-07 00:00:00
generator_1,5,seasonal,0.14420989138381987,192,2025-04-07 00:00:00
generator_1,6,seasonal,0.14387871100136335,192,2025-04-07 00:00:00
generator_1,7,seasonal,0.14328558023639384,192,2025-04-07 00:00:00
generator_1,8,seasonal,0.1429992043606189,192,2025-04-07 00:00:00
generator_1,12,seasonal,0.1444476248218951,192,2025-04-07 00:00:00
generator_1,16,seasonal,0.14373544028969817,192,2025-04-07 00:00:00
generator_1,24,seasonal,0.14459643537411682,192,2025-04-07 00:00:00
generator_1,32,seasonal,0.14942779759172722,192,2025-04-07 00:00:00
generator_1,48,seasonal,0.15258070149495628,192,2025-04-07 00:00:00
generator_1,64,seasonal,0.15522641814234642,192,2025-04-07 00:00:00
generator_1,72,seasonal,0.15290067752710687,192,2025-04-07 00:00:00
generator_1,96,seasonal,0.14746790413566058,192,2025-04-07 00:00:00
generator_all,1,seasonal,0.1344467336063281,192,2025-04-07 00:00:00
generator_all,2,seasonal,0.1334260062918566,192,2025-04-07 00:00:00
generator_all,3,seasonal,0.13229658220422677,192,2025-04-07 00:00:00
generator_all,4,seasonal,0.13148866857051478,192,2025-04-07 00:00:00
generator_all,5,seasonal,0.13091323493627258,192,2025-04-07 00:00:00
generator_all,6,seasonal,0.13034944076667715,192,2025-04-07 00:00:00
generator_all,7,seasonal,0.1299264486239908,192,2025-04-07 00:00:00
generator_all,8,seasonal,0.12986544078214632,192,2025-04-07 00:00:00
generator_all,12,seasonal,0.13269629563093588,192,2025-04-07 00:00:00
generator_all,16,seasonal,0.13447928362977915,192,2025-04-07 00:00:00
generator_all,24,seasonal,0.13690327479416423,192,2025-04-07 00:00:00
generator_all,32,seasonal,0.13792622716331138,192,2025-04-07 00:00:00
generator_all,48,seasonal,0.12744467307179805,192,2025-04-07 00:00:00
generator_all,64,seasonal,0.13266392647353156,192,2025-04-07 00:00:00
generator_all,72,seasonal,0.13008582880941913,192,2025-04-07 00:00:00
generator_all,96,seasonal,0.12060921308831896,192,2025-04-07 00:00:00
generator_1,1,lgb_residual,0.030845123371452756,192,2025-04-07 00:00:00
generator_1,2,lgb_residual,0.04262890991879457,192,2025-04-07 00:00:00
generator_1,3,lgb_residual,0.05109656710890522,192,2025-04-07 00:00:00
generator_1,4,lgb_residual,0.05750360381637643,192,2025-04-07 00:00:00
generator_1,5,lgb_residual,0.06335640157340779,192,2025-04-07 00:00:00
generator_1,6,lgb_residual,0.06767510043595924,192,2025-04-07 00:00:00
generator_1,7,lgb_residual,0.07299044398168465,192,2025-04-07 00:00:00
generator_1,8,lgb_residual,0.07705853508550432,192,2025-04-07 00:00:00
generator_1,12,lgb_residual,0.08811055361175858,192,2025-04-07 00:00:00
generator_1,16,lgb_residual,0.09866786389556041,192,2025-04-07 00:00:00
generator_1,24,lgb_residual,0.10615783858678589,192,2025-04-07 00:00:00
generator_1,32,lgb_residual,0.12136968718062457,192,2025-04-07 00:00:00
generator_1,48,lgb_residual,0.157580259011927,192,2025-04-07 00:00:00
generator_1,64,lgb_residual,0.16614293766553923,192,2025-04-07 00:00:00
generator_1,72,lgb_residual,0.1543867709799326,192,2025-04-07 00:00:00
generator_1,96,lgb_residual,0.1813189780508581,192,2025-04-07 00:00:00
generator_all,1,lgb_residual,0.02081530458466418,192,2025-04-07 00:00:00
generator_all,2,lgb_residual,0.03665437411888667,192,2025-04-07 00:00:00
generator_all,3,lgb_residual,0.048723266075146314,192,2025-04-07 00:00:00
generator_all,4,lgb_residual,0.059809864901313736,192,2025-04-07 00:00:00
generator_all,5,lgb_residual,0.06956730452935293,192,2025-04-07 00:00:00
generator_all,6,lgb_residual,0.07478239215293134,192,2025-04-07 00:00:00
generator_all,7,lgb_residual,0.07599476904827046,192,2025-04-07 00:00:00
generator_all,8,lgb_residual,0.07911535989539077,192,2025-04-07 00:00:00
generator_all,12,lgb_residual,0.08330855436914404,192,2025-04-07 00:00:00
generator_all,16,lgb_residual,0.08390354771639662,192,2025-04-07 00:00:00
generator_all,24,lgb_residual,0.09312745963523199,192,2025-04-07 00:00:00
generator_all,32,lgb_residual,0.10794286674155466,192,2025-04-07 00:00:00
